dtec,gdlat,glon,station,tec,ut1_unix
0.411821,32.0,35.0,BSHM,27.8538,1667398200.0
0.411916,32.0,35.0,BSHM,27.077,1667398500.0
0.434132,32.0,35.0,BSHM,26.4499,1667398800.0
0.4345,32.0,35.0,BSHM,25.8373,1667399100.0
0.492241,32.0,35.0,BSHM,25.1543,1667399400.0
0.460993,32.0,35.0,BSHM,24.5865,1667399700.0
0.531953,32.0,35.0,BSHM,23.8673,1667400000.0
0.49252,32.0,35.0,BSHM,22.9974,1667400300.0
0.492784,32.0,35.0,BSHM,22.1255,1667400600.0
0.493519,32.0,35.0,BSHM,21.5004,1667400900.0
0.583022,32.0,35.0,BSHM,20.3239,1667401200.0
0.584731,32.0,35.0,BSHM,19.1749,1667401500.0
0.651782,32.0,35.0,BSHM,17.906,1667401800.0
0.752102,32.0,35.0,BSHM,16.9557,1667402100.0
0.752648,32.0,35.0,BSHM,16.2399,1667402400.0
1.30258,32.0,35.0,BSHM,15.2716,1667402700.0
1.30423,32.0,35.0,BSHM,14.724,1667403000.0
1.3057,32.0,35.0,BSHM,13.7832,1667404500.0
1.30285,32.0,35.0,BSHM,13.5777,1667404800.0
0.921289,32.0,35.0,BSHM,13.2595,1667405100.0
0.752492,32.0,35.0,BSHM,12.9997,1667405400.0
0.752375,32.0,35.0,BSHM,12.8078,1667405700.0
0.921126,32.0,35.0,BSHM,12.6541,1667406000.0
0.753319,32.0,35.0,BSHM,11.9698,1667406300.0
0.753439,32.0,35.0,BSHM,11.2945,1667406600.0
0.92314,32.0,35.0,BSHM,10.4542,1667406900.0
0.923223,32.0,35.0,BSHM,10.2348,1667407200.0
0.923131,32.0,35.0,BSHM,10.0636,1667407500.0
0.923426,32.0,35.0,BSHM,9.93699,1667407800.0
0.922246,32.0,35.0,BSHM,9.98031,1667409300.0
1.30152,32.0,35.0,BSHM,9.69522,1667409600.0
1.30227,32.0,35.0,BSHM,9.62976,1667409900.0
1.30644,32.0,35.0,BSHM,9.72975,1667410200.0
1.30314,32.0,35.0,BSHM,9.66372,1667410500.0
0.930183,32.0,35.0,BSHM,9.41964,1667410800.0
0.921774,32.0,35.0,BSHM,9.43081,1667411100.0
1.30418,32.0,35.0,BSHM,9.50948,1667413200.0
0.92172,32.0,35.0,BSHM,9.57072,1667413500.0
0.652446,32.0,35.0,BSHM,9.53376,1667413800.0
0.752532,32.0,35.0,BSHM,9.54376,1667414100.0
0.651659,32.0,35.0,BSHM,9.5067,1667414400.0
0.492551,32.0,35.0,BSHM,9.38253,1667414700.0
0.492551,32.0,35.0,BSHM,9.37891,1667415000.0
0.434402,32.0,35.0,BSHM,9.30278,1667415300.0
0.460648,32.0,35.0,BSHM,9.33017,1667415600.0
0.531606,32.0,35.0,BSHM,9.26148,1667415900.0
0.531659,32.0,35.0,BSHM,9.32107,1667416200.0
0.582469,32.0,35.0,BSHM,9.29939,1667416500.0
0.651133,32.0,35.0,BSHM,9.31579,1667416800.0
0.752617,32.0,35.0,BSHM,9.49285,1667417100.0
